iter	Passed	Remaining
0	155	155278
1	157	78807
2	160	53317
3	163	40604
4	166	33057
5	168	27867
6	170	24164
7	171	21324
8	173	19100
9	175	17332
10	176	15860
11	177	14628
12	178	13579
13	180	12677
14	181	11890
15	182	11196
16	183	10582
17	184	10049
18	185	9569
19	186	9130
20	187	8735
21	188	8372
22	189	8047
23	190	7751
24	192	7492
25	193	7249
26	194	7021
27	195	6802
28	196	6595
29	198	6403
30	199	6224
31	200	6058
32	201	5898
33	202	5749
34	203	5614
35	204	5487
36	206	5361
37	207	5243
38	208	5130
39	209	5024
40	210	4925
41	211	4827
42	212	4731
43	213	4645
44	214	4562
45	216	4481
46	217	4401
47	218	4326
48	219	4260
49	220	4192
50	221	4130
51	223	4071
52	224	4010
53	225	3951
54	226	3891
55	227	3843
56	229	3790
57	230	3739
58	231	3688
59	232	3637
60	233	3594
61	234	3549
62	235	3504
63	236	3463
64	238	3425
65	239	3385
66	240	3348
67	241	3303
68	242	3269
69	243	3233
70	244	3200
71	245	3165
72	246	3130
73	247	3096
74	248	3065
75	249	3035
76	250	3008
77	252	2979
78	253	2952
79	254	2930
80	255	2903
81	257	2881
82	258	2856
83	259	2832
84	260	2804
85	261	2779
86	262	2751
87	263	2729
88	264	2707
89	265	2686
90	267	2667
91	268	2647
92	269	2628
93	270	2609
94	271	2589
95	273	2573
96	274	2553
97	275	2535
98	276	2516
99	277	2499
100	278	2483
101	279	2461
102	280	2446
103	282	2430
104	283	2413
105	284	2398
106	285	2383
107	287	2372
108	288	2358
109	289	2344
110	291	2331
111	292	2317
112	293	2303
113	294	2290
114	295	2274
115	296	2259
116	297	2245
117	298	2230
118	299	2214
119	300	2202
120	302	2195
121	303	2182
122	303	2167
123	304	2154
124	305	2141
125	307	2129
126	307	2116
127	308	2101
128	309	2089
129	310	2078
130	311	2066
131	312	2054
132	313	2043
133	314	2032
134	315	2022
135	317	2014
136	318	2004
137	319	1993
138	320	1983
139	321	1973
140	322	1963
141	323	1953
142	324	1945
143	325	1935
144	326	1926
145	327	1917
146	328	1908
147	330	1900
148	331	1892
149	332	1884
150	333	1876
151	334	1867
152	335	1859
153	337	1852
154	338	1845
155	339	1836
156	340	1828
157	341	1819
158	342	1811
159	343	1803
160	344	1797
161	346	1791
162	347	1784
163	348	1777
164	349	1771
165	351	1764
166	352	1757
167	353	1749
168	354	1742
169	355	1735
170	356	1727
171	357	1720
172	358	1715
173	360	1709
174	361	1704
175	362	1697
176	363	1691
177	364	1684
178	365	1678
179	367	1672
180	367	1663
181	368	1656
182	369	1651
183	370	1644
184	372	1639
185	373	1634
186	374	1629
187	375	1622
188	376	1616
189	377	1610
190	378	1604
191	379	1598
192	381	1593
193	382	1587
194	383	1581
195	384	1575
196	385	1570
197	386	1564
198	387	1558
199	388	1553
200	389	1549
201	390	1544
202	392	1539
203	393	1535
204	394	1530
205	395	1524
206	396	1518
207	397	1512
208	397	1506
209	398	1500
210	399	1494
211	400	1488
212	401	1482
213	402	1478
214	403	1474
215	405	1470
216	406	1465
217	407	1460
218	408	1455
219	408	1449
220	409	1444
221	410	1438
222	411	1433
223	412	1428
224	413	1423
225	414	1418
226	415	1413
227	416	1408
228	417	1405
229	418	1401
230	420	1398
231	421	1394
232	422	1391
233	423	1387
234	424	1382
235	425	1377
236	426	1373
237	427	1368
238	428	1363
239	429	1359
240	430	1354
241	431	1350
242	432	1346
243	433	1342
244	434	1339
245	435	1335
246	436	1331
247	437	1327
248	438	1323
249	439	1319
250	440	1315
251	441	1311
252	442	1307
253	443	1303
254	444	1298
255	445	1294
256	446	1292
257	448	1288
258	449	1286
259	450	1283
260	451	1278
261	452	1274
262	453	1270
263	454	1265
264	454	1261
265	455	1257
266	456	1253
267	457	1249
268	458	1244
269	458	1240
270	459	1236
271	460	1233
272	462	1230
273	463	1227
274	464	1224
275	465	1221
276	466	1218
277	467	1214
278	468	1210
279	469	1206
280	470	1203
281	471	1199
282	471	1195
283	472	1191
284	473	1187
285	474	1183
286	475	1181
287	476	1178
288	477	1175
289	478	1172
290	479	1169
291	480	1165
292	481	1161
293	482	1158
294	483	1154
295	483	1151
296	484	1147
297	485	1144
298	486	1140
299	487	1136
300	487	1133
301	488	1129
302	489	1126
303	490	1123
304	492	1122
305	493	1119
306	494	1116
307	495	1113
308	496	1110
309	497	1107
310	498	1105
311	500	1102
312	501	1099
313	502	1096
314	503	1093
315	504	1090
316	505	1088
317	506	1085
318	507	1082
319	508	1079
320	509	1076
321	510	1073
322	510	1070
323	511	1067
324	513	1065
325	514	1063
326	515	1060
327	516	1057
328	517	1054
329	518	1051
330	518	1048
331	520	1046
332	521	1043
333	522	1041
334	523	1038
335	524	1035
336	525	1033
337	526	1030
338	527	1027
339	528	1025
340	529	1022
341	530	1020
342	531	1017
343	532	1014
344	532	1011
345	533	1009
346	534	1006
347	535	1004
348	536	1001
349	537	998
350	538	995
351	539	993
352	540	991
353	541	988
354	542	986
355	543	983
356	544	980
357	545	978
358	546	975
359	547	973
360	548	970
361	549	968
362	550	965
363	551	963
364	552	960
365	553	958
366	554	956
367	555	954
368	556	951
369	557	949
370	558	947
371	559	945
372	560	942
373	561	940
374	562	938
375	563	935
376	564	933
377	565	931
378	567	929
379	568	926
380	569	924
381	570	922
382	571	920
383	572	917
384	573	915
385	574	913
386	575	910
387	576	908
388	577	906
389	577	904
390	578	901
391	579	899
392	580	897
393	581	895
394	582	892
395	583	890
396	584	888
397	585	886
398	586	883
399	587	881
400	588	879
401	589	877
402	590	875
403	591	872
404	592	870
405	593	868
406	594	866
407	595	864
408	596	862
409	597	860
410	598	857
411	599	855
412	600	853
413	601	851
414	602	849
415	603	847
416	604	845
417	605	842
418	606	840
419	607	838
420	608	836
421	609	835
422	610	833
423	611	831
424	612	829
425	613	827
426	614	824
427	615	822
428	616	820
429	617	818
430	618	816
431	619	814
432	620	812
433	621	810
434	622	808
435	623	806
436	624	804
437	625	802
438	626	800
439	627	798
440	628	796
441	629	794
442	630	792
443	631	790
444	632	788
445	633	786
446	634	784
447	635	782
448	636	780
449	637	779
450	638	777
451	639	775
452	640	773
453	641	771
454	642	769
455	643	767
456	644	765
457	645	763
458	646	761
459	647	759
460	648	757
461	649	755
462	650	753
463	651	752
464	652	750
465	653	748
466	654	746
467	655	744
468	656	743
469	657	741
470	658	739
471	659	737
472	660	735
473	660	733
474	661	731
475	662	729
476	663	727
477	665	726
478	666	724
479	667	722
480	668	720
481	669	719
482	670	717
483	671	715
484	671	713
485	672	711
486	673	709
487	674	707
488	675	706
489	676	704
490	677	702
491	678	700
492	679	699
493	680	697
494	681	695
495	682	693
496	683	691
497	684	690
498	685	688
499	686	686
500	687	684
501	688	682
502	689	681
503	690	679
504	691	677
505	692	675
506	693	674
507	694	672
508	695	670
509	696	669
510	697	667
511	698	665
512	699	663
513	700	662
514	701	660
515	702	658
516	703	656
517	704	655
518	705	653
519	706	651
520	707	650
521	708	648
522	709	647
523	710	645
524	711	643
525	712	642
526	713	640
527	714	638
528	715	636
529	716	635
530	717	633
531	718	631
532	719	630
533	720	628
534	721	627
535	722	625
536	723	623
537	724	622
538	725	620
539	726	618
540	727	616
541	728	615
542	728	613
543	729	611
544	730	610
545	731	608
546	732	606
547	733	605
548	734	603
549	736	602
550	737	600
551	738	599
552	738	597
553	739	595
554	740	593
555	741	592
556	742	590
557	743	588
558	744	587
559	745	585
560	745	583
561	746	582
562	747	580
563	748	578
564	749	577
565	750	575
566	751	573
567	751	571
568	752	570
569	753	568
570	754	566
571	755	564
572	755	563
573	756	561
574	757	559
575	758	558
576	759	556
577	759	554
578	760	553
579	761	551
580	762	550
581	763	548
582	764	546
583	765	545
584	766	543
585	767	542
586	768	540
587	769	538
588	769	537
589	770	535
590	771	533
591	772	532
592	773	530
593	773	528
594	774	527
595	775	525
596	776	524
597	777	522
598	778	521
599	779	519
600	780	518
601	781	516
602	782	515
603	783	513
604	783	511
605	784	510
606	785	508
607	786	506
608	787	505
609	787	503
610	788	502
611	789	500
612	790	499
613	791	497
614	792	495
615	793	494
616	793	492
617	794	491
618	795	489
619	796	488
620	797	486
621	797	484
622	798	483
623	799	481
624	800	480
625	801	478
626	801	476
627	802	475
628	803	473
629	804	472
630	805	471
631	806	469
632	807	468
633	808	466
634	809	465
635	810	463
636	810	462
637	811	460
638	812	459
639	813	457
640	814	456
641	815	454
642	816	453
643	817	451
644	818	450
645	819	449
646	820	447
647	821	446
648	822	444
649	823	443
650	824	441
651	825	440
652	826	439
653	827	437
654	828	436
655	829	434
656	830	433
657	831	432
658	832	430
659	833	429
660	835	428
661	836	426
662	837	425
663	837	424
664	838	422
665	839	421
666	840	419
667	841	418
668	841	416
669	842	415
670	843	413
671	844	412
672	846	411
673	847	409
674	848	408
675	849	407
676	850	405
677	851	404
678	852	403
679	853	401
680	854	400
681	855	398
682	856	397
683	857	395
684	857	394
685	859	393
686	860	392
687	861	390
688	862	389
689	863	387
690	864	386
691	865	385
692	865	383
693	866	382
694	867	380
695	868	379
696	869	377
697	869	376
698	870	374
699	871	373
700	872	372
701	873	370
702	874	369
703	875	368
704	876	366
705	877	365
706	878	364
707	879	362
708	880	361
709	881	360
710	882	358
711	883	357
712	884	355
713	885	354
714	886	353
715	887	351
716	888	350
717	890	349
718	891	348
719	892	346
720	893	345
721	893	344
722	894	342
723	895	341
724	896	340
725	897	338
726	898	337
727	899	336
728	900	334
729	901	333
730	902	332
731	904	330
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	909	323
738	910	321
739	911	320
740	912	319
741	913	317
742	914	316
743	915	315
744	916	313
745	917	312
746	918	311
747	920	310
748	921	308
749	922	307
750	923	306
751	924	304
752	924	303
753	925	301
754	926	300
755	927	299
756	927	297
757	928	296
758	929	295
759	930	293
760	931	292
761	932	291
762	933	290
763	934	288
764	935	287
765	936	286
766	937	284
767	938	283
768	939	282
769	940	280
770	941	279
771	942	278
772	943	276
773	944	275
774	945	274
775	946	273
776	947	271
777	948	270
778	950	269
779	950	268
780	951	266
781	952	265
782	953	264
783	954	262
784	955	261
785	956	260
786	957	259
787	957	257
788	958	256
789	959	255
790	960	253
791	961	252
792	962	251
793	963	249
794	964	248
795	965	247
796	966	246
797	967	244
798	968	243
799	969	242
800	970	241
801	971	239
802	972	238
803	973	237
804	974	236
805	975	234
806	976	233
807	977	232
808	978	230
809	979	229
810	980	228
811	981	227
812	982	225
813	983	224
814	984	223
815	985	222
816	986	220
817	986	219
818	987	218
819	988	217
820	989	215
821	990	214
822	991	213
823	992	212
824	993	210
825	995	209
826	996	208
827	997	207
828	998	205
829	999	204
830	1000	203
831	1000	202
832	1002	200
833	1002	199
834	1003	198
835	1004	197
836	1005	195
837	1006	194
838	1008	193
839	1009	192
